Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Hoop Dreams (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,125.9576014,8.878632857,1
Heavenly Creatures (1994),0,0,0,0,0,0,1,0,0,0,0,1,0,120.5497574,5.352305702,1
Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,1,0,0,0,0,0,0,0,1,0,100.0565265,6.75025354,0
Star Wars: Episode IV - A New Hope (1977),0,1,0,0,0,0,0,0,0,0,0,0,1,85.69736845,15.41519593,1
Little Women (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,139.9211905,14.70513356,0
"Madness of King George, The (1994)",0,0,0,0,0,0,0,0,1,0,0,1,0,105.4496514,49.07552005,1
Murder in the First (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,124.7161532,9.946580274,1
Pulp Fiction (1994),0,0,0,0,0,0,1,0,1,0,0,1,0,108.3749505,7.866863232,1
Quiz Show (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,82.1177962,11.87053876,1
"Quick and the Dead, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,83.70596536,15.18417048,1
"Secret of Roan Inish, The (1994)",0,0,1,0,0,0,0,1,0,0,1,1,0,88.24430078,19.94031513,0
"Shawshank Redemption, The (1994)",0,0,0,0,0,0,1,0,0,0,0,1,0,97.96876575,17.27783308,0
Vanya on 42nd Street (1994),0,0,0,0,0,0,0,0,0,0,0,1,0,104.4006145,6.966820533,1
What's Eating Gilbert Grape (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,89.13304048,4.02058847,1
Muriel's Wedding (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,117.4106664,20.90338469,1
"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,0,0,0,0,0,1,0,0,1,0,97.93956818,11.93333847,1
Backbeat (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,78.72680301,7.299708884,0
Bullets Over Broadway (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,128.1946981,8.918660431,1
Crooklyn (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,91.68170444,49.17536977,1
Wolf (1994),0,0,0,1,1,0,0,0,0,0,0,1,0,101.7548059,8.148986719,0
Addams Family Values (1993),0,0,0,0,0,0,0,1,1,0,1,0,0,152.6565547,5.232304351,0
Barcelona (1994),0,0,0,0,1,0,0,0,1,0,0,0,0,107.7666975,15.21330862,1
Cliffhanger (1993),0,0,0,0,0,0,0,0,0,0,0,0,1,129.8623372,12.42009258,1
Dazed and Confused (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,97.46036931,4.978804294,1
"Fugitive, The (1993)",0,0,0,0,0,0,0,0,0,0,0,0,0,114.8170915,30.45769446,0
"Hudsucker Proxy, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,117.1639651,27.83439615,1
In the Line of Fire (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,111.0386208,21.61615709,0
Manhattan Murder Mystery (1993),0,0,1,0,0,0,0,0,1,0,0,0,0,112.924068,8.848529231,1
Naked (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,120.0511636,45.9635792,1
Orlando (1992),0,0,0,0,1,0,0,1,0,0,0,1,0,111.3208887,14.01672317,0
"Perfect World, A (1993)",0,0,0,0,0,0,1,0,0,0,0,1,0,109.5191583,12.66357844,0
Philadelphia (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,122.4752869,5.189428638,0
Schindler's List (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,98.90412329,8.607079995,1
Searching for Bobby Fischer (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,59.80583216,14.65912336,1
Serial Mom (1994),0,0,0,1,0,0,1,0,1,0,0,0,0,82.82177753,10.27975082,1
Short Cuts (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,127.6484963,26.55890894,1
Six Degrees of Separation (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,124.8245722,3.45188356,1
Blade Runner (1982),0,1,0,0,0,0,0,0,0,0,0,0,0,111.7076302,3.741570223,1
Thirty-Two Short Films About Glenn Gould (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,145.282976,18.48126125,1
"Nightmare Before Christmas, The (1993)",0,0,0,0,0,0,0,1,0,1,1,0,0,162.1824786,4.845370494,1
True Romance (1993),0,0,0,0,0,0,1,0,0,0,0,0,0,133.8499146,23.084927,0
"War Room, The (1993)",1,0,0,0,0,0,0,0,0,0,0,0,0,121.6000901,5.192729406,1
Welcome to the Dollhouse (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,110.880335,30.01555517,1
Spanking the Monkey (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,124.2568027,7.570791552,1
"Celluloid Closet, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,102.6920056,9.185207842,1
Dances with Wolves (1990),0,0,0,0,0,0,0,0,0,0,0,1,1,70.49991176,14.49053512,0
Batman (1989),0,0,0,0,0,0,1,0,0,0,0,0,0,108.4794208,4.20406046,1
"Silence of the Lambs, The (1991)",0,0,0,1,0,0,1,0,0,0,0,0,0,128.4614876,48.90201235,1
Snow White and the Seven Dwarfs (1937),0,0,0,0,0,0,0,1,0,1,1,1,0,91.94666572,6.509355981,1
Pinocchio (1940),0,0,0,0,0,0,0,1,0,1,1,0,0,91.31397846,9.70102728,1
"Wild Bunch, The (1969)",0,0,0,0,0,0,0,0,0,0,0,0,1,118.5112094,8.252160345,1
Fargo (1996),0,0,0,0,0,0,1,0,1,0,0,1,0,119.7297431,6.262227627,1
"Aristocats, The (1970)",0,0,0,0,0,0,0,0,0,1,1,0,0,129.694521,4.511441131,1
James and the Giant Peach (1996),0,0,0,0,0,0,0,1,0,1,1,0,1,86.95938682,37.15997196,1
Wallace & Gromit: A Close Shave (1995),0,0,0,0,0,0,0,0,1,1,1,0,0,114.5999132,36.40933466,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0,0,0,0,0,0,0,0,1,0,0,0,0,127.2348263,17.94015209,1
I Shot Andy Warhol (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,154.4841398,22.73691812,1
Trainspotting (1996),0,0,0,0,0,0,1,0,1,0,0,1,0,118.8142634,4.555481795,1
Independence Day (a.k.a. ID4) (1996),0,1,0,0,0,0,0,0,0,0,0,0,1,94.97288986,26.48803908,0
"Frighteners, The (1996)",0,0,0,1,0,0,0,0,1,0,0,0,0,110.0288318,29.72273525,0
Lone Star (1996),0,0,1,0,0,0,0,0,0,0,0,1,0,107.9398911,6.699425502,1
Phenomenon (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,80.87834722,11.24343185,0
"Godfather, The (1972)",0,0,0,0,0,0,1,0,0,0,0,1,0,88.34610847,36.7654171,1
"Philadelphia Story, The (1940)",0,0,0,0,1,0,0,0,1,0,0,1,0,90.80102563,10.40078918,1
Singin' in the Rain (1952),0,0,0,0,1,0,0,0,1,0,0,0,0,110.6940851,3.903251367,1
Breakfast at Tiffany's (1961),0,0,0,0,1,0,0,0,0,0,0,1,0,97.93596936,7.431233407,1
Vertigo (1958),0,0,1,0,1,0,0,0,0,0,0,1,0,56.26122284,7.202910747,1
Rear Window (1954),0,0,1,0,0,0,0,0,0,0,0,0,0,108.7619464,7.538660367,1
It Happened One Night (1934),0,0,0,0,1,0,0,0,1,0,0,0,0,120.5691035,9.226990236,1
North by Northwest (1959),0,0,1,0,1,0,0,0,0,0,0,0,1,112.8922887,6.09161341,1
"Apartment, The (1960)",0,0,0,0,1,0,0,0,1,0,0,1,0,139.6652997,6.910171331,1
Some Like It Hot (1959),0,0,0,0,0,0,1,0,1,0,0,0,0,110.6812641,18.30506327,1
Casablanca (1942),0,0,0,0,1,0,0,0,0,0,0,1,0,129.8841958,33.34253364,1
"Maltese Falcon, The (1941)",0,0,1,0,0,0,0,0,0,0,0,0,0,124.3426975,11.88053564,1
My Fair Lady (1964),0,0,0,0,1,0,0,0,1,0,0,1,0,99.01788708,10.2160312,1
Meet Me in St. Louis (1944),0,0,0,0,0,0,0,0,0,0,0,0,0,89.03889252,3.625453601,1
"Wizard of Oz, The (1939)",0,0,0,0,0,0,0,1,0,0,1,0,1,135.7401955,42.2420926,1
Gone with the Wind (1939),0,0,0,0,1,0,0,0,0,0,0,1,0,103.8883632,5.105097835,1
My Favorite Year (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,138.4917879,10.33145522,1
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0,0,0,0,1,0,0,0,0,0,0,1,0,66.82870515,15.24131305,1
Citizen Kane (1941),0,0,1,0,0,0,0,0,0,0,0,1,0,129.5287262,40.02412961,1
2001: A Space Odyssey (1968),0,1,0,0,0,0,0,0,0,0,0,1,1,88.08796167,7.62127659,1
All About Eve (1950),0,0,0,0,0,0,0,0,0,0,0,1,0,135.0120576,18.61535436,1
"Women, The (1939)",0,0,0,0,0,0,0,0,1,0,0,0,0,137.7753739,9.438897318,1
Rebecca (1940),0,0,1,0,1,0,0,0,0,0,0,1,0,116.504924,19.33861609,1
Notorious (1946),0,0,0,0,1,0,0,0,0,0,0,0,0,139.2877834,4.347886959,1
Spellbound (1945),0,0,1,0,1,0,0,0,0,0,0,0,0,95.43979832,8.8078907,1
Top Hat (1935),0,0,0,0,1,0,0,0,1,0,0,0,0,112.7117576,48.82626156,1
Giant (1956),0,0,0,0,1,0,0,0,0,0,0,1,0,85.22963398,7.580422721,1
East of Eden (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,91.43583574,11.61629735,1
"Thin Man, The (1934)",0,0,0,0,0,0,1,0,1,0,0,0,0,97.96387764,16.48988406,1
It's a Wonderful Life (1946),0,0,0,0,1,0,0,1,0,0,1,1,0,130.1358095,10.92781344,1
Mr. Smith Goes to Washington (1939),0,0,0,0,0,0,0,0,0,0,0,1,0,100.4440184,9.657702937,1
Bringing Up Baby (1938),0,0,0,0,1,0,0,0,1,0,0,0,0,147.9399269,8.218421598,1
"39 Steps, The (1935)",0,0,1,0,0,0,0,0,0,0,0,1,0,111.9932821,14.33890371,1
Night of the Living Dead (1968),0,1,0,1,0,0,0,0,0,0,0,0,0,98.84189654,47.40071426,1
"African Queen, The (1951)",0,0,0,0,1,0,0,0,1,0,0,0,1,107.2969057,19.52725101,1
Cat on a Hot Tin Roof (1958),0,0,0,0,0,0,0,0,0,0,0,1,0,114.6977782,40.31349439,1
Meet John Doe (1941),0,0,0,0,0,0,0,0,1,0,0,1,0,100.7403647,7.02343186,1
Picnic (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,86.41637894,6.007645051,1
Big Night (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,117.9211566,17.43054421,1
Escape to Witch Mountain (1975),0,0,0,0,0,0,0,1,0,0,1,0,1,97.40191922,16.94980462,0
"Love Bug, The (1969)",0,0,0,0,0,0,0,0,1,0,1,0,0,102.5987422,6.8957264,1
Old Yeller (1957),0,0,0,0,0,0,0,0,0,0,1,1,0,91.2254357,5.222074598,1
"20,000 Leagues Under the Sea (1954)",0,1,0,0,0,0,0,0,0,0,0,1,1,97.95407041,33.37326742,1
Mary Poppins (1964),0,0,0,0,0,0,0,1,1,0,1,0,0,94.87972873,5.831815895,1
Dumbo (1941),0,0,0,0,0,0,0,0,0,1,1,1,0,97.55488204,18.0955761,1
"Sound of Music, The (1965)",0,0,0,0,1,0,0,0,0,0,0,0,0,123.7659567,8.611458611,1
Die Hard (1988),0,0,0,0,0,0,1,0,0,0,0,0,0,94.35097575,6.64114902,1
Beautiful Thing (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,108.9146657,16.19917795,1
Everyone Says I Love You (1996),0,0,0,0,1,0,0,0,1,0,0,0,0,119.7560711,9.285650463,1
Sleepers (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,137.8450829,12.17591975,0
Willy Wonka & the Chocolate Factory (1971),0,0,0,0,0,0,0,1,1,0,1,0,0,114.9925507,48.30590422,1
Sleeper (1973),0,1,0,0,0,0,0,0,1,0,0,0,0,127.7860576,11.11498272,1
Bananas (1971),0,0,0,0,0,0,0,0,1,0,0,0,0,93.60767535,4.544584337,1
"Fish Called Wanda, A (1988)",0,0,0,0,0,0,1,0,1,0,0,0,0,140.2981916,3.852781454,1
Monty Python's Life of Brian (1979),0,0,0,0,0,0,0,0,1,0,0,0,0,132.1474809,15.24088246,1
Victor/Victoria (1982),0,0,0,0,1,0,0,0,1,0,0,0,0,140.7711681,49.00711303,1
"Candidate, The (1972)",0,0,0,0,0,0,0,0,0,0,0,1,0,113.3916301,17.92193693,1
Bonnie and Clyde (1967),0,0,0,0,0,0,1,0,0,0,0,1,0,133.5099713,4.168496428,1
Dial M for Murder (1954),0,0,1,0,0,0,1,0,0,0,0,0,0,149.1772121,30.412275,1
Reservoir Dogs (1992),0,0,1,0,0,0,1,0,0,0,0,0,0,129.5860998,4.625739179,1
Platoon (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,124.5934267,25.69934946,0
"Doors, The (1991)",0,0,0,0,0,0,0,0,0,0,0,1,0,114.1925528,24.88002598,0
"Crying Game, The (1992)",0,0,0,0,1,0,0,0,0,0,0,1,0,104.5374299,4.840527987,1
Glengarry Glen Ross (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,119.4274331,4.738332674,1
Sophie's Choice (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,147.7504796,6.053188632,1
E.T. the Extra-Terrestrial (1982),0,1,0,0,0,0,0,0,0,0,1,1,0,105.4934705,33.01692024,1
Rebel Without a Cause (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,145.5304867,9.222812653,1
"Streetcar Named Desire, A (1951)",0,0,0,0,0,0,0,0,0,0,0,1,0,137.4204249,11.12590861,1
"People vs. Larry Flynt, The (1996)",0,0,0,0,0,0,0,0,1,0,0,1,0,104.8670581,5.795934073,1
On Golden Pond (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,115.2350119,14.31204721,1
"Return of the Pink Panther, The (1975)",0,0,0,0,0,0,1,0,1,0,0,0,0,138.1015323,31.19721091,1
"Fog, The (1980)",0,0,0,1,0,0,0,0,0,0,0,0,0,101.3795535,4.347615347,1
Jean de Florette (1986),0,0,1,0,0,0,0,0,0,0,0,1,0,115.3073719,5.960699963,1
Manon of the Spring (Manon des sources) (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,87.8802391,6.944135487,1
Monty Python and the Holy Grail (1975),0,0,0,0,0,0,0,1,1,0,0,0,1,114.6312816,4.646933617,1
When We Were Kings (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,98.38919413,3.639999761,1
Wallace & Gromit: The Wrong Trousers (1993),0,0,0,0,0,0,1,0,1,1,1,0,0,126.1785289,5.303233685,1
Bob Roberts (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,100.8738572,5.641012571,1
Cinema Paradiso (Nuovo cinema Paradiso) (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,113.0054552,3.972207536,1
"Cook the Thief His Wife & Her Lover, The (1989)",0,0,0,0,0,0,0,0,1,0,0,1,0,99.32300223,8.770481788,1
Delicatessen (1991),0,0,0,0,1,0,0,0,1,0,0,1,0,82.36066686,48.58611203,1
Paths of Glory (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,118.8372692,28.68414742,1
"Grifters, The (1990)",0,0,0,0,0,0,1,0,0,0,0,1,0,101.5091673,4.166535432,1
My Left Foot (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,127.8845413,13.31610868,1
"Sex, Lies, and Videotape (1989)",0,0,0,0,0,0,0,0,0,0,0,1,0,138.4844016,34.97719941,1
Strictly Ballroom (1992),0,0,0,0,1,0,0,0,1,0,0,0,0,116.5412471,18.99294133,0
"Thin Blue Line, The (1988)",1,0,0,0,0,0,0,0,0,0,0,0,0,128.2055975,37.26834208,1
Paris Is Burning (1990),1,0,0,0,0,0,0,0,0,0,0,0,0,124.1085879,48.98354159,1
One Flew Over the Cuckoo's Nest (1975),0,0,0,0,0,0,0,0,0,0,0,1,0,149.7999052,9.852717933,1
Star Wars: Episode V - The Empire Strikes Back (1980),0,1,0,0,0,0,0,0,0,0,0,0,1,99.5350299,6.555508891,1
"Princess Bride, The (1987)",0,0,0,0,1,0,0,1,1,0,0,0,1,82.08325864,29.69151142,1
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0,0,0,0,0,0,0,0,0,0,0,0,1,89.00116089,49.21909466,1
Aliens (1986),0,1,0,1,0,0,0,0,0,0,0,0,1,95.98967563,40.07921403,1
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",0,0,0,0,0,0,0,0,0,0,0,0,1,98.0491345,12.71400033,1
12 Angry Men (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,97.31674617,12.05725037,1
Lawrence of Arabia (1962),0,0,0,0,0,0,0,0,0,0,0,1,1,68.36167567,6.443490664,1
To Kill a Mockingbird (1962),0,0,0,0,0,0,0,0,0,0,0,1,0,95.8426051,11.78923469,1
Apocalypse Now (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,80.50417442,5.917436543,1
Once Upon a Time in the West (C'era una volta il West) (1968),0,0,0,0,0,0,0,0,0,0,0,1,0,115.4847416,7.205618564,1
Star Wars: Episode VI - Return of the Jedi (1983),0,1,0,0,0,0,0,0,0,0,0,0,1,101.1764346,4.583675235,0
"Wings of Desire (Himmel über Berlin, Der) (1987)",0,0,0,0,1,0,0,1,0,0,0,1,0,108.4011964,6.200618996,1
"Third Man, The (1949)",0,0,1,0,0,0,0,0,0,0,0,0,0,137.452129,33.47972583,1
Goodfellas (1990),0,0,0,0,0,0,1,0,0,0,0,1,0,140.2373667,9.682139277,1
Alien (1979),0,1,0,1,0,0,0,0,0,0,0,0,0,116.0268217,48.42226665,1
Ran (1985),0,0,0,0,0,0,0,0,0,0,0,1,0,111.0573519,7.197082561,1
"Killer, The (Die xue shuang xiong) (1989)",0,0,0,0,0,0,1,0,0,0,0,1,0,129.881604,6.039756905,1
Psycho (1960),0,0,0,1,0,0,1,0,0,0,0,0,0,80.16470513,10.75485059,1
"Blues Brothers, The (1980)",0,0,0,0,0,0,0,0,1,0,0,0,0,113.5045712,48.61000231,1
"Godfather: Part II, The (1974)",0,0,0,0,0,0,1,0,0,0,0,1,0,111.567032,9.385162488,1
Full Metal Jacket (1987),0,0,0,0,0,0,0,0,0,0,0,1,0,99.20351754,46.31025923,1
Henry V (1989),0,0,0,0,1,0,0,0,0,0,0,1,0,69.86673456,5.577082694,1
Amadeus (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,127.4542326,6.276712065,1
Once Upon a Time in America (1984),0,0,0,0,0,0,1,0,0,0,0,1,0,130.8825873,14.14982499,1
Raging Bull (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,124.8822293,33.47385392,1
Annie Hall (1977),0,0,0,0,1,0,0,0,1,0,0,0,0,148.0675698,22.18208431,1
"Right Stuff, The (1983)",0,0,0,0,0,0,0,0,0,0,0,1,0,111.599065,3.652523457,1
"Boot, Das (Boat, The) (1981)",0,0,0,0,0,0,0,0,0,0,0,1,0,87.81373137,35.34819377,1
"Sting, The (1973)",0,0,0,0,0,0,1,0,1,0,0,0,0,89.5513743,11.65381709,1
Harold and Maude (1971),0,0,0,0,1,0,0,0,1,0,0,1,0,98.67885711,35.90086399,1
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0,0,0,0,0,0,0,0,0,0,0,1,0,128.026184,18.19737668,1
Local Hero (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,93.83102807,15.52120927,1
"Terminator, The (1984)",0,1,0,0,0,0,0,0,0,0,0,0,0,124.0556757,29.67214625,1
Glory (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,91.45717159,6.495997647,1
Rosencrantz and Guildenstern Are Dead (1990),0,0,0,0,0,0,0,0,1,0,0,1,0,120.9341679,5.373564557,1
Manhattan (1979),0,0,0,0,1,0,0,0,1,0,0,1,0,107.2007837,31.06420234,1
Miller's Crossing (1990),0,0,0,0,0,0,1,0,0,0,0,1,0,100.16624,10.07055813,1
Dead Poets Society (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,122.4897512,24.43202512,0
"Graduate, The (1967)",0,0,0,0,1,0,0,0,1,0,0,1,0,106.7402631,5.020354668,1
Touch of Evil (1958),0,0,0,0,0,0,1,0,0,0,0,0,0,108.2058253,22.69782275,1
"Femme Nikita, La (Nikita) (1990)",0,0,0,0,1,0,1,0,0,0,0,0,0,99.43985429,28.36559176,1
"Bridge on the River Kwai, The (1957)",0,0,0,0,0,0,0,0,0,0,0,1,1,104.0205805,7.402906187,1
8 1/2 (8_) (1963),0,0,0,0,0,0,0,1,0,0,0,1,0,102.2628948,15.31739842,1
Chinatown (1974),0,0,1,0,0,0,1,0,0,0,0,0,0,105.9955316,35.18429318,1
"Day the Earth Stood Still, The (1951)",0,1,0,0,0,0,0,0,0,0,0,1,0,107.5063747,18.89673095,1
Duck Soup (1933),0,0,0,0,0,0,0,0,1,0,0,0,0,78.59758622,3.681213855,1
"Shining, The (1980)",0,0,0,1,0,0,0,0,0,0,0,0,0,106.5463022,9.883980643,1
Stand by Me (1986),0,0,0,0,0,0,0,0,0,0,0,1,1,93.38935145,6.647469135,1
M (1931),0,0,0,0,0,0,1,0,0,0,0,0,0,99.74205898,9.707016509,1
"Great Escape, The (1963)",0,0,0,0,0,0,0,0,0,0,0,1,1,116.3035932,47.64267847,1
"Deer Hunter, The (1978)",0,0,0,0,0,0,0,0,0,0,0,1,0,108.5813146,4.540874142,1
Diva (1981),0,0,1,0,1,0,0,0,0,0,0,1,0,97.08721051,5.934287252,1
Groundhog Day (1993),0,0,0,0,1,0,0,1,1,0,0,0,0,82.27940755,5.382005209,1
Unforgiven (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,100.5531869,31.70480942,1
"Manchurian Candidate, The (1962)",0,0,0,0,0,0,1,0,0,0,0,0,0,97.43449895,20.54458738,1
Pump Up the Volume (1990),0,0,0,0,0,0,0,0,1,0,0,1,0,139.8505381,28.26484671,0
Back to the Future (1985),0,1,0,0,0,0,0,0,1,0,0,0,1,102.710193,28.8230087,0
Patton (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,97.98557839,5.940892351,1
Down by Law (1986),0,0,0,0,0,0,0,0,1,0,0,1,0,105.9266346,21.63325399,1
Cool Hand Luke (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,108.7991286,38.47799202,1
Young Frankenstein (1974),0,0,0,0,0,0,0,1,1,0,0,0,0,94.26853448,46.38974729,1
Night on Earth (1991),0,0,0,0,0,0,0,0,1,0,0,1,0,104.0193847,3.805286932,1
"Great Dictator, The (1940)",0,0,0,0,0,0,0,0,1,0,0,1,0,116.5427568,4.258450501,1
Fantasia (1940),0,0,0,0,0,0,0,1,0,1,1,0,0,90.03059091,3.870439783,1
High Noon (1952),0,0,0,0,0,0,0,0,0,0,0,1,0,136.6611268,8.864537936,1
"Big Sleep, The (1946)",0,0,1,0,0,0,1,0,0,0,0,0,0,77.01385515,11.30857109,1
Heathers (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,110.0487601,11.63033393,1
Ben-Hur (1959),0,0,0,0,0,0,0,0,0,0,0,1,1,85.98851894,7.501683499,1
This Is Spinal Tap (1984),0,0,0,0,0,0,0,0,1,0,0,0,0,93.433868,12.41562519,1
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),1,0,0,0,0,0,0,0,0,0,0,0,0,116.1819684,8.768843781,1
Being There (1979),0,0,0,0,0,0,0,0,1,0,0,1,0,99.58098319,22.0889119,1
Gandhi (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,130.9847777,4.783211997,1
"Room with a View, A (1986)",0,0,0,0,1,0,0,0,0,0,0,1,0,136.6359307,6.706883998,1
"Killing Fields, The (1984)",0,0,0,0,0,0,0,0,0,0,0,1,0,110.8802727,5.367540813,1
My Life as a Dog (Mitt liv som hund) (1985),0,0,0,0,0,0,0,0,1,0,0,1,0,92.44736187,14.51822703,1
Field of Dreams (1989),0,0,0,0,0,0,0,1,0,0,1,1,0,114.3201256,37.66133873,0
Butch Cassidy and the Sundance Kid (1969),0,0,0,0,0,0,0,0,0,0,0,0,0,99.19426093,42.79501715,1
When Harry Met Sally... (1989),0,0,0,0,1,0,0,0,1,0,0,0,0,102.6501588,12.17997647,0
Alien_ (a.k.a. Alien 3) (1992),0,1,0,1,0,0,0,0,0,0,0,0,0,128.4701998,37.57717137,0
"American Werewolf in London, An (1981)",0,0,0,1,0,0,0,0,1,0,0,0,0,125.788133,10.4169006,1
Amityville 3-D (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,104.4030247,35.0127028,0
